seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time,camera
21,"[50, 105, 934, 1041]",snapshot_2,Absent,01-08-2024 10:06,transformed_cam2.csv
22,"[24, 64, 379, 450]",snapshot_2,Present,01-08-2024 10:06,transformed_cam2.csv
23,"[14, 61, 467, 539]",snapshot_2,Absent,01-08-2024 10:06,transformed_cam2.csv
24,"[6, 53, 566, 638]",snapshot_2,Absent,01-08-2024 10:06,transformed_cam2.csv
25,"[9, 50, 665, 728]",snapshot_2,Absent,01-08-2024 10:06,transformed_cam2.csv
26,"[1, 54, 757, 826]",snapshot_2,Absent,01-08-2024 10:06,transformed_cam2.csv
27,"[4, 60, 837, 926]",snapshot_2,Absent,01-08-2024 10:06,transformed_cam2.csv
28,"[14, 51, 947, 1025]",snapshot_2,Present,01-08-2024 10:06,transformed_cam2.csv
1,"[200, 282, 64, 173]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
2,"[201, 286, 213, 309]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
3,"[189, 280, 332, 427]",snapshot_3,Absent,01-08-2024 10:12,transformed_cam2.csv
4,"[191, 293, 440, 561]",snapshot_3,Absent,01-08-2024 10:12,transformed_cam2.csv
5,"[181, 292, 597, 725]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
6,"[183, 296, 779, 905]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
7,"[193, 310, 952, 1089]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
8,"[128, 178, 169, 276]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
9,"[118, 175, 277, 361]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
10,"[115, 178, 363, 471]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
11,"[103, 170, 502, 592]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
12,"[93, 171, 630, 727]",snapshot_3,Absent,01-08-2024 10:12,transformed_cam2.csv
13,"[106, 176, 780, 883]",snapshot_3,Absent,01-08-2024 10:12,transformed_cam2.csv
14,"[108, 176, 921, 1035]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
15,"[52, 115, 283, 357]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
16,"[62, 115, 364, 442]",snapshot_3,Absent,01-08-2024 10:12,transformed_cam2.csv
17,"[57, 104, 485, 574]",snapshot_3,Absent,01-08-2024 10:12,transformed_cam2.csv
18,"[53, 97, 621, 703]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
19,"[44, 105, 721, 800]",snapshot_3,Absent,01-08-2024 10:12,transformed_cam2.csv
20,"[50, 100, 823, 912]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
21,"[50, 105, 934, 1041]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
22,"[24, 64, 379, 450]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
23,"[14, 61, 467, 539]",snapshot_3,Absent,01-08-2024 10:12,transformed_cam2.csv
24,"[6, 53, 566, 638]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
25,"[9, 50, 665, 728]",snapshot_3,Absent,01-08-2024 10:12,transformed_cam2.csv
26,"[1, 54, 757, 826]",snapshot_3,Absent,01-08-2024 10:12,transformed_cam2.csv
27,"[4, 60, 837, 926]",snapshot_3,Absent,01-08-2024 10:12,transformed_cam2.csv
28,"[14, 51, 947, 1025]",snapshot_3,Present,01-08-2024 10:12,transformed_cam2.csv
1,"[200, 282, 64, 173]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
2,"[201, 286, 213, 309]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
3,"[189, 280, 332, 427]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
4,"[191, 293, 440, 561]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
5,"[181, 292, 597, 725]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
6,"[183, 296, 779, 905]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
7,"[193, 310, 952, 1089]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
8,"[128, 178, 169, 276]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
9,"[118, 175, 277, 361]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
10,"[115, 178, 363, 471]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
11,"[103, 170, 502, 592]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
12,"[93, 171, 630, 727]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
13,"[106, 176, 780, 883]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
14,"[108, 176, 921, 1035]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
15,"[52, 115, 283, 357]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
16,"[62, 115, 364, 442]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
17,"[57, 104, 485, 574]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
18,"[53, 97, 621, 703]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
19,"[44, 105, 721, 800]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
20,"[50, 100, 823, 912]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
21,"[50, 105, 934, 1041]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
22,"[24, 64, 379, 450]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
23,"[14, 61, 467, 539]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
24,"[6, 53, 566, 638]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
25,"[9, 50, 665, 728]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
26,"[1, 54, 757, 826]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
27,"[4, 60, 837, 926]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
28,"[14, 51, 947, 1025]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
1,"[200, 282, 64, 173]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
2,"[201, 286, 213, 309]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
3,"[189, 280, 332, 427]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
4,"[191, 293, 440, 561]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
5,"[181, 292, 597, 725]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
6,"[183, 296, 779, 905]",snapshot_5,Present,01-08-2024 10:24,transformed_cam2.csv
7,"[193, 310, 952, 1089]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
8,"[128, 178, 169, 276]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
9,"[118, 175, 277, 361]",snapshot_5,Present,01-08-2024 10:24,transformed_cam2.csv
10,"[115, 178, 363, 471]",snapshot_5,Present,01-08-2024 10:24,transformed_cam2.csv
11,"[103, 170, 502, 592]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
12,"[93, 171, 630, 727]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
13,"[106, 176, 780, 883]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
14,"[108, 176, 921, 1035]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
15,"[52, 115, 283, 357]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
16,"[62, 115, 364, 442]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
17,"[57, 104, 485, 574]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
18,"[53, 97, 621, 703]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
19,"[44, 105, 721, 800]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
20,"[50, 100, 823, 912]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
21,"[50, 105, 934, 1041]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
22,"[24, 64, 379, 450]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
23,"[14, 61, 467, 539]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
24,"[6, 53, 566, 638]",snapshot_5,Present,01-08-2024 10:24,transformed_cam2.csv
25,"[9, 50, 665, 728]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
26,"[1, 54, 757, 826]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
27,"[4, 60, 837, 926]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
28,"[14, 51, 947, 1025]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
1,"[345, 494, 492, 677]",snapshot_1,Present,01-08-2024 09:53,transformed_cam3.csv
2,"[332, 496, 721, 951]",snapshot_1,Present,01-08-2024 09:53,transformed_cam3.csv
