seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time
12,"[223, 289, 168, 266]",snapshot_4,Present,01-08-2024 10:20
13,"[210, 280, 293, 408]",snapshot_4,Present,01-08-2024 10:20
14,"[199, 266, 472, 587]",snapshot_4,Present,01-08-2024 10:20
15,"[182, 249, 601, 750]",snapshot_4,Present,01-08-2024 10:20
16,"[183, 252, 773, 894]",snapshot_4,Present,01-08-2024 10:20
17,"[172, 246, 925, 1021]",snapshot_4,Present,01-08-2024 10:20
18,"[175, 242, 1048, 1161]",snapshot_4,Present,01-08-2024 10:20
19,"[188, 240, 1211, 1321]",snapshot_4,Present,01-08-2024 10:20
20,"[183, 247, 1334, 1421]",snapshot_4,Present,01-08-2024 10:20
21,"[194, 246, 1430, 1517]",snapshot_4,Present,01-08-2024 10:20
22,"[163, 203, 258, 351]",snapshot_4,Present,01-08-2024 10:20
23,"[143, 205, 379, 483]",snapshot_4,Absent,01-08-2024 10:20
24,"[131, 193, 490, 577]",snapshot_4,Absent,01-08-2024 10:20
25,"[121, 181, 607, 702]",snapshot_4,Absent,01-08-2024 10:20
26,"[129, 188, 726, 812]",snapshot_4,Present,01-08-2024 10:20
27,"[123, 175, 825, 930]",snapshot_4,Present,01-08-2024 10:20
28,"[118, 178, 942, 1040]",snapshot_4,Absent,01-08-2024 10:20
29,"[121, 168, 1069, 1147]",snapshot_4,Present,01-08-2024 10:20
30,"[115, 177, 1164, 1252]",snapshot_4,Present,01-08-2024 10:20
31,"[114, 154, 340, 404]",snapshot_4,Absent,01-08-2024 10:20
32,"[105, 146, 424, 503]",snapshot_4,Present,01-08-2024 10:20
33,"[91, 138, 544, 633]",snapshot_4,Absent,01-08-2024 10:20
34,"[84, 132, 668, 752]",snapshot_4,Absent,01-08-2024 10:20
35,"[80, 132, 782, 853]",snapshot_4,Absent,01-08-2024 10:20
36,"[83, 131, 901, 963]",snapshot_4,Absent,01-08-2024 10:21
37,"[87, 130, 999, 1072]",snapshot_4,Absent,01-08-2024 10:21
38,"[119, 167, 256, 330]",snapshot_4,Absent,01-08-2024 10:21
1,"[289, 404, 197, 347]",snapshot_5,Absent,01-08-2024 10:26
2,"[298, 405, 386, 525]",snapshot_5,Absent,01-08-2024 10:26
3,"[270, 374, 599, 738]",snapshot_5,Present,01-08-2024 10:26
4,"[278, 384, 768, 951]",snapshot_5,Present,01-08-2024 10:26
5,"[253, 366, 978, 1106]",snapshot_5,Absent,01-08-2024 10:26
6,"[255, 355, 1117, 1238]",snapshot_5,Absent,01-08-2024 10:26
7,"[248, 351, 1278, 1378]",snapshot_5,Present,01-08-2024 10:26
8,"[255, 349, 1387, 1483]",snapshot_5,Absent,01-08-2024 10:26
9,"[261, 339, 1489, 1589]",snapshot_5,Absent,01-08-2024 10:26
10,"[269, 329, 1565, 1661]",snapshot_5,Present,01-08-2024 10:26
11,"[245, 302, 67, 149]",snapshot_5,Absent,01-08-2024 10:26
12,"[223, 289, 168, 266]",snapshot_5,Present,01-08-2024 10:26
13,"[210, 280, 293, 408]",snapshot_5,Present,01-08-2024 10:26
14,"[199, 266, 472, 587]",snapshot_5,Absent,01-08-2024 10:26
15,"[182, 249, 601, 750]",snapshot_5,Present,01-08-2024 10:26
16,"[183, 252, 773, 894]",snapshot_5,Present,01-08-2024 10:26
17,"[172, 246, 925, 1021]",snapshot_5,Present,01-08-2024 10:26
18,"[175, 242, 1048, 1161]",snapshot_5,Absent,01-08-2024 10:26
19,"[188, 240, 1211, 1321]",snapshot_5,Present,01-08-2024 10:26
20,"[183, 247, 1334, 1421]",snapshot_5,Present,01-08-2024 10:26
21,"[194, 246, 1430, 1517]",snapshot_5,Absent,01-08-2024 10:26
22,"[163, 203, 258, 351]",snapshot_5,Present,01-08-2024 10:26
23,"[143, 205, 379, 483]",snapshot_5,Present,01-08-2024 10:26
24,"[131, 193, 490, 577]",snapshot_5,Absent,01-08-2024 10:26
25,"[121, 181, 607, 702]",snapshot_5,Absent,01-08-2024 10:26
26,"[129, 188, 726, 812]",snapshot_5,Absent,01-08-2024 10:26
27,"[123, 175, 825, 930]",snapshot_5,Present,01-08-2024 10:26
28,"[118, 178, 942, 1040]",snapshot_5,Absent,01-08-2024 10:26
29,"[121, 168, 1069, 1147]",snapshot_5,Absent,01-08-2024 10:26
30,"[115, 177, 1164, 1252]",snapshot_5,Absent,01-08-2024 10:26
31,"[114, 154, 340, 404]",snapshot_5,Absent,01-08-2024 10:26
32,"[105, 146, 424, 503]",snapshot_5,Absent,01-08-2024 10:26
33,"[91, 138, 544, 633]",snapshot_5,Absent,01-08-2024 10:26
34,"[84, 132, 668, 752]",snapshot_5,Absent,01-08-2024 10:26
35,"[80, 132, 782, 853]",snapshot_5,Absent,01-08-2024 10:26
36,"[83, 131, 901, 963]",snapshot_5,Absent,01-08-2024 10:27
37,"[87, 130, 999, 1072]",snapshot_5,Absent,01-08-2024 10:27
38,"[119, 167, 256, 330]",snapshot_5,Absent,01-08-2024 10:27
